cohortId,targetId,comparator1Id,comparator2Id,comparator3Id,tar,met,age,sex,obese,,,,tar,met,age,sex,obese,,age(0/1),sex(0/1)
4020320,40,10,20,30,ot2,no,older,male,any,0,4020320,#NUM!,2,0,3,2,0,,1,1
4020311,40,10,20,30,ot2,no,older,female,with,0,4020311,#NUM!,2,0,3,1,1,,1,1
4020321,40,10,20,30,ot2,no,older,male,with,0,4020321,#NUM!,2,0,3,2,1,,1,1
4011000,40,10,20,30,ot1,with,any,any,any,0,4011000,88,1,1,0,0,0,,0,0
4011001,40,10,20,30,ot1,with,any,any,with,0,4011001,89,1,1,0,0,1,,0,0
4011010,40,10,20,30,ot1,with,any,female,any,0,4011010,90,1,1,0,1,0,,0,1
4011020,40,10,20,30,ot1,with,any,male,any,0,4011020,90,1,1,0,2,0,,0,1
4011011,40,10,20,30,ot1,with,any,female,with,0,4011011,91,1,1,0,1,1,,0,1
4011021,40,10,20,30,ot1,with,any,male,with,0,4011021,91,1,1,0,2,1,,0,1
4011100,40,10,20,30,ot1,with,younger,any,any,0,4011100,92,1,1,1,0,0,,1,0
4011101,40,10,20,30,ot1,with,younger,any,with,0,4011101,93,1,1,1,0,1,,1,0
4011110,40,10,20,30,ot1,with,younger,female,any,0,4011110,94,1,1,1,1,0,,1,1
4011120,40,10,20,30,ot1,with,younger,male,any,0,4011120,94,1,1,1,2,0,,1,1
4011111,40,10,20,30,ot1,with,younger,female,with,0,4011111,95,1,1,1,1,1,,1,1
4011121,40,10,20,30,ot1,with,younger,male,with,0,4011121,95,1,1,1,2,1,,1,1
4011300,40,10,20,30,ot1,with,older,any,any,0,4011300,92,1,1,3,0,0,,1,0
4011301,40,10,20,30,ot1,with,older,any,with,0,4011301,93,1,1,3,0,1,,1,0
4011310,40,10,20,30,ot1,with,older,female,any,0,4011310,94,1,1,3,1,0,,1,1
4011320,40,10,20,30,ot1,with,older,male,any,0,4011320,94,1,1,3,2,0,,1,1
4011311,40,10,20,30,ot1,with,older,female,with,0,4011311,95,1,1,3,1,1,,1,1
4011321,40,10,20,30,ot1,with,older,male,with,0,4011321,95,1,1,3,2,1,,1,1
4021000,40,10,20,30,ot2,with,any,any,any,0,4021000,#NUM!,2,1,0,0,0,,0,0
4021001,40,10,20,30,ot2,with,any,any,with,0,4021001,#NUM!,2,1,0,0,1,,0,0
4021010,40,10,20,30,ot2,with,any,female,any,0,4021010,#NUM!,2,1,0,1,0,,0,1
4021020,40,10,20,30,ot2,with,any,male,any,0,4021020,#NUM!,2,1,0,2,0,,0,1
4021011,40,10,20,30,ot2,with,any,female,with,0,4021011,#NUM!,2,1,0,1,1,,0,1
